Term	Gene
GABAergic_neurons	Rd3l
GABAergic_neurons	Cbln4
GABAergic_neurons	Lypd6
GABAergic_neurons	Tmem108
GABAergic_neurons	Tnnt1
GABAergic_neurons	Tnni3
GABAergic_neurons	Gata3
GABAergic_neurons	Lhx1
GABAergic_neurons	Uncx
GABAergic_neurons	Fibcd1
GABAergic_neurons	Mgarp
GABAergic_neurons	Lmo1
GABAergic_neurons	Vwc2
GABAergic_neurons	Npffr1
GABAergic_neurons	Pax7
GABAergic_neurons	Tfap2b
GABAergic_neurons	Cdhr1
GABAergic_neurons	Rnf152
GABAergic_neurons	Zfhx4
GABAergic_neurons	Lhx1os
GABAergic_neurons	Emx2
GABAergic_neurons	Gata3
GABAergic_neurons	Gad2
GABAergic_neurons	Asic1
GABAergic_neurons	Tal1
GABAergic_neurons	Trim66
GABAergic_neurons	Gata3
GABAergic_neurons	Gad2
GABAergic_neurons	Vgf
GABAergic_neurons	Syt2
GABAergic_neurons	Nrtn
GABAergic_neurons	Smim17
GABAergic_neurons	Slc32a1
GABAergic_neurons	Kcnab3
GABAergic_neurons	Pax5
GABAergic_neurons	Gabrq
GABAergic_neurons	Asb4
GABAergic_neurons	AW551984
GABAergic_neurons	Vgf
GABAergic_neurons	Pax7
GABAergic_neurons	Gm27199
GABAergic_neurons	Asic4
GABAergic_neurons	Sphkap
GABAergic_neurons	A330102I10Rik
GABAergic_neurons	Pvalb
GABAergic_neurons	Il22
GABAergic_neurons	Kit
GABAergic_neurons	Sla
GABAergic_neurons	Hcn1
GABAergic_neurons	Sp9
GABAergic_neurons	Ccsap
GABAergic_neurons	Gng4
GABAergic_neurons	Pbx3
GABAergic_neurons	Tshz1
GABAergic_neurons	Gpsm1
GABAergic_neurons	Col6a1
GABAergic_neurons	Meis2
GABAergic_neurons	Kcnh3
GABAergic_neurons	Pcp4l1
GABAergic_neurons	Prok2
GABAergic_neurons	Trdn
GABAergic_neurons	Inhba
GABAergic_neurons	Ppp1r17
GABAergic_neurons	Kcnip2
GABAergic_neurons	Nppa
GABAergic_neurons	Nccrp1
GABAergic_neurons	Htr1f
GABAergic_neurons	Id2
GABAergic_neurons	Nxph1
GABAergic_neurons	Nppa
GABAergic_neurons	Dlx5
GABAergic_neurons	Calb2
GABAergic_neurons	Apold1
GABAergic_neurons	Nxph1
GABAergic_neurons	Scgn
GABAergic_neurons	Cpne6
GABAergic_neurons	Synpr
GABAergic_neurons	Isoc1
GABAergic_neurons	Pcp4l1
GABAergic_neurons	Lhx8
GABAergic_neurons	Gbx1
GABAergic_neurons	Elfn1
GABAergic_neurons	Gad2
GABAergic_neurons	Vat1l
GABAergic_neurons	A230065H16Rik
GABAergic_neurons	Zic1
GABAergic_neurons	Cacna2d2
GABAergic_neurons	Arhgap6
GABAergic_neurons	Dgkg
GABAergic_neurons	Hoxb9
GABAergic_neurons	Tacr3
GABAergic_neurons	Pnoc
GABAergic_neurons	Aard
GABAergic_neurons	1500009L16Rik
GABAergic_neurons	Serpinb1b
GABAergic_neurons	Hoxb5os
GABAergic_neurons	Skor1
GABAergic_neurons	Sstr2
GABAergic_neurons	Lgals9
GABAergic_neurons	Serpinb1b
GABAergic_neurons	Rspo3
GABAergic_neurons	Hoxb6
GABAergic_neurons	B3gat2
GABAergic_neurons	Fam159b
GABAergic_neurons	Krt17
GABAergic_neurons	Nrl
GABAergic_neurons	Hoxb6
GABAergic_neurons	Lhx1
GABAergic_neurons	Slc16a11
GABAergic_neurons	Hoxb8
GABAergic_neurons	Pcsk5
GABAergic_neurons	Hoxb6
GABAergic_neurons	Frzb
GABAergic_neurons	Hoxb2
GABAergic_neurons	Serpinb1b
GABAergic_neurons	Gbx1
GABAergic_neurons	Hoxb6
GABAergic_neurons	Gm5
GABAergic_neurons	P2ry1
GABAergic_neurons	Hoxb8
GABAergic_neurons	Kcnmb2
GABAergic_neurons	Hoxb6
GABAergic_neurons	Lhx1
GABAergic_neurons	Nxph1
GABAergic_neurons	Serpinb1b
GABAergic_neurons	Pax8
GABAergic_neurons	Glra1
GABAergic_neurons	Rspo1
GABAergic_neurons	Plch1
GABAergic_neurons	Hoxb8
GABAergic_neurons	Kcnk3
GABAergic_neurons	Glra1
GABAergic_neurons	Hoxc6
GABAergic_neurons	Hoxb2
GABAergic_neurons	Crabp1
GABAergic_neurons	Tnfrsf13c
GABAergic_neurons	Sall3
GABAergic_neurons	Gm5
GABAergic_neurons	Kcnab3
GABAergic_neurons	Ecel1
GABAergic_neurons	Tmem215
GABAergic_neurons	Peg10
GABAergic_neurons	Amigo2
GABAergic_neurons	Adra2a
GABAergic_neurons	Six3
GABAergic_neurons	St8sia4
GABAergic_neurons	Esrrg
GABAergic_neurons	Lancl3
GABAergic_neurons	Fign
GABAergic_neurons	Six3
GABAergic_neurons	Gm2115
GABAergic_neurons	Esrrg
GABAergic_neurons	Gad1
GABAergic_neurons	Ubash3b
GABAergic_neurons	Lhx8
GABAergic_neurons	Rmst
GABAergic_neurons	Dgkk
GABAergic_neurons	Ppp1r17
GABAergic_neurons	RP23-366O14.4
Serotonergic_neurons	Slc6a4
Serotonergic_neurons	Wfdc12
Serotonergic_neurons	Slc18a2
Serotonergic_neurons	Fev
Serotonergic_neurons	C130021I20Rik
Serotonergic_neurons	Tph2
Serotonergic_neurons	Slc17a8
Serotonergic_neurons	Maob
Serotonergic_neurons	Fev
Serotonergic_neurons	Slc22a3
Serotonergic_neurons	Gchfr
Serotonergic_neurons	Il1r1
Serotonergic_neurons	Slc18a2
Serotonergic_neurons	Fev
Serotonergic_neurons	Slc22a3
Serotonergic_neurons	Tph2
Serotonergic_neurons	5031425F14Rik
Serotonergic_neurons	Slc18a2
Serotonergic_neurons	Fev
Serotonergic_neurons	Slc22a3
Serotonergic_neurons	Trh
Serotonergic_neurons	Pgr15l
Serotonergic_neurons	Slc18a2
Serotonergic_neurons	Gabre
Serotonergic_neurons	Nkx6-1
Peptidergic_neurons	Calca
Peptidergic_neurons	Traf3ip3
Peptidergic_neurons	Prdm12
Peptidergic_neurons	Itk
Peptidergic_neurons	Fam150b
Peptidergic_neurons	Calca
Peptidergic_neurons	6030408B16Rik
Peptidergic_neurons	Samsn1
Peptidergic_neurons	Pou4f3
Peptidergic_neurons	Timeless
Peptidergic_neurons	Trpv1
Peptidergic_neurons	Fam169b
Peptidergic_neurons	Aqp1
Peptidergic_neurons	Pirt
Peptidergic_neurons	Kcns3
Peptidergic_neurons	Calca
Peptidergic_neurons	Gm13582
Peptidergic_neurons	Ptgir
Peptidergic_neurons	Pou4f3
Peptidergic_neurons	Fam150b
Peptidergic_neurons	Rarres1
Peptidergic_neurons	Slc34a2
Peptidergic_neurons	Tmem54
Peptidergic_neurons	Plcd4
Peptidergic_neurons	Gcnt2
Peptidergic_neurons	Rarres1
Peptidergic_neurons	Gpsm3
Peptidergic_neurons	Prdm12
Peptidergic_neurons	Prph
Peptidergic_neurons	Gcnt2
Peptidergic_neurons	Gfra3
Peptidergic_neurons	Angpt4
Peptidergic_neurons	Runx1
Peptidergic_neurons	Prph
Peptidergic_neurons	Gcnt2
Peptidergic_neurons	Nts
Peptidergic_neurons	Dlk1
Peptidergic_neurons	Dgkk
Peptidergic_neurons	AW551984
Peptidergic_neurons	Zcchc12
Peptidergic_neurons	Fezf1
Peptidergic_neurons	Baiap3
Peptidergic_neurons	Hap1
Peptidergic_neurons	A730017C20Rik
Peptidergic_neurons	Myh7
Peptidergic_neurons	Trh
Peptidergic_neurons	Ngb
Peptidergic_neurons	Peg10
Peptidergic_neurons	Gabre
Peptidergic_neurons	Resp18
Peptidergic_neurons	Ucn3
Peptidergic_neurons	Baiap3
Peptidergic_neurons	Pkib
Peptidergic_neurons	Tmie
Peptidergic_neurons	Fam46a
Peptidergic_neurons	Otp
Peptidergic_neurons	Cited1
Peptidergic_neurons	Asb4
Peptidergic_neurons	Tmie
Peptidergic_neurons	Mboat7
Peptidergic_neurons	Gnrh1
Peptidergic_neurons	Gng8
Peptidergic_neurons	Smim22
Peptidergic_neurons	Acbd7
Peptidergic_neurons	Fam92b
Peptidergic_neurons	Calca
Peptidergic_neurons	Asic3
Peptidergic_neurons	Ptgir
Peptidergic_neurons	Pou4f3
Peptidergic_neurons	Gm13425
Nitrergic_neurons	Gal
Nitrergic_neurons	Moxd1
Nitrergic_neurons	Tmem255b
Nitrergic_neurons	Tmc3
Nitrergic_neurons	Kcnj5
Nitrergic_neurons	Cartpt
Nitrergic_neurons	Bglap
Nitrergic_neurons	Ass1
Nitrergic_neurons	Camp
Nitrergic_neurons	Tes
Nitrergic_neurons	Cox8b
Nitrergic_neurons	Anxa11
Nitrergic_neurons	Ass1
Nitrergic_neurons	S100a4
Nitrergic_neurons	Tes
Non-peptidergic_neurons	Gm7271
Non-peptidergic_neurons	Chrna6
Non-peptidergic_neurons	Ctxn3
Non-peptidergic_neurons	Kcnmb1
Non-peptidergic_neurons	Ppp1r1c
Non-peptidergic_neurons	Mrgprd
Non-peptidergic_neurons	9530053A07Rik
Non-peptidergic_neurons	Lpar3
Non-peptidergic_neurons	Tmem45b
Non-peptidergic_neurons	Ppp1r1c
Non-peptidergic_neurons	Mrgpra3
Non-peptidergic_neurons	Otoa
Non-peptidergic_neurons	Calcb
Non-peptidergic_neurons	Krt27
Non-peptidergic_neurons	Acpp
Non-peptidergic_neurons	Mrgpra3
Non-peptidergic_neurons	Cpb1
Non-peptidergic_neurons	Isl2
Non-peptidergic_neurons	Scn10a
Non-peptidergic_neurons	Scn11a
Non-peptidergic_neurons	Nppb
Non-peptidergic_neurons	Tmem233
Non-peptidergic_neurons	Il31ra
Non-peptidergic_neurons	Ada
Non-peptidergic_neurons	Gm525
Non-peptidergic_neurons	Fam19a4
Non-peptidergic_neurons	Fbp2
Non-peptidergic_neurons	Piezo2
Non-peptidergic_neurons	Tlx3
Non-peptidergic_neurons	Paqr5
Noradrenergic_neurons	Dbh
Noradrenergic_neurons	Procr
Noradrenergic_neurons	Ntrk1
Noradrenergic_neurons	Htr3b
Noradrenergic_neurons	Gnb3
Noradrenergic_neurons	Slc6a2
Noradrenergic_neurons	Fbp2
Noradrenergic_neurons	Ntrk1
Noradrenergic_neurons	Edn3
Noradrenergic_neurons	Gnb3
Noradrenergic_neurons	Areg
Noradrenergic_neurons	Ltk
Noradrenergic_neurons	Omp
